2025-09-26 10:58:59,288 INFO    StreamThr :2240455 [internal.py:wandb_internal():86] W&B internal server running at pid: 2240455, started at: 2025-09-26 10:58:59.287659
2025-09-26 10:58:59,289 DEBUG   HandlerThread:2240455 [handler.py:handle_request():146] handle_request: status
2025-09-26 10:58:59,290 INFO    WriterThread:2240455 [datastore.py:open_for_write():87] open: /mnt/data/kai/VinDr_Code/Mini_VinDr_CXR_Dataset/dicom_comparison/wandb/run-20250926_105859-71ztocc3/run-71ztocc3.wandb
2025-09-26 10:58:59,290 DEBUG   SenderThread:2240455 [sender.py:send():379] send: header
2025-09-26 10:58:59,291 DEBUG   SenderThread:2240455 [sender.py:send():379] send: run
2025-09-26 10:59:00,003 INFO    SenderThread:2240455 [dir_watcher.py:__init__():211] watching files in: /mnt/data/kai/VinDr_Code/Mini_VinDr_CXR_Dataset/dicom_comparison/wandb/run-20250926_105859-71ztocc3/files
2025-09-26 10:59:00,003 INFO    SenderThread:2240455 [sender.py:_start_run_threads():1124] run started: 71ztocc3 with start time 1758855539.287303
2025-09-26 10:59:00,008 DEBUG   HandlerThread:2240455 [handler.py:handle_request():146] handle_request: check_version
2025-09-26 10:59:00,008 DEBUG   SenderThread:2240455 [sender.py:send_request():406] send_request: check_version
2025-09-26 10:59:00,075 DEBUG   HandlerThread:2240455 [handler.py:handle_request():146] handle_request: run_start
2025-09-26 10:59:00,087 DEBUG   HandlerThread:2240455 [system_info.py:__init__():26] System info init
2025-09-26 10:59:00,087 DEBUG   HandlerThread:2240455 [system_info.py:__init__():41] System info init done
2025-09-26 10:59:00,087 INFO    HandlerThread:2240455 [system_monitor.py:start():194] Starting system monitor
2025-09-26 10:59:00,087 INFO    SystemMonitor:2240455 [system_monitor.py:_start():158] Starting system asset monitoring threads
2025-09-26 10:59:00,087 INFO    HandlerThread:2240455 [system_monitor.py:probe():214] Collecting system info
2025-09-26 10:59:00,088 INFO    SystemMonitor:2240455 [interfaces.py:start():190] Started cpu monitoring
2025-09-26 10:59:00,088 INFO    SystemMonitor:2240455 [interfaces.py:start():190] Started disk monitoring
2025-09-26 10:59:00,088 INFO    SystemMonitor:2240455 [interfaces.py:start():190] Started gpu monitoring
2025-09-26 10:59:00,089 INFO    SystemMonitor:2240455 [interfaces.py:start():190] Started memory monitoring
2025-09-26 10:59:00,090 INFO    SystemMonitor:2240455 [interfaces.py:start():190] Started network monitoring
2025-09-26 10:59:00,095 DEBUG   HandlerThread:2240455 [system_info.py:probe():150] Probing system
